Press Enter to quit: NBits: 4032 	NErrs: 1 	BER: 2.4802E-04
NBits: 6048 	NErrs: 1 	BER: 1.6534E-04
NBits: 8064 	NErrs: 1 	BER: 1.2401E-04
NBits: 12096 	NErrs: 1 	BER: 8.2672E-05
NBits: 14112 	NErrs: 1 	BER: 7.0862E-05
NBits: 18144 	NErrs: 1 	BER: 5.5115E-05
NBits: 20160 	NErrs: 1 	BER: 4.9603E-05
NBits: 22176 	NErrs: 1 	BER: 4.5094E-05
NBits: 34272 	NErrs: 1 	BER: 2.9178E-05
NBits: 38304 	NErrs: 1 	BER: 2.6107E-05
NBits: 42336 	NErrs: 1 	BER: 2.3621E-05
NBits: 44352 	NErrs: 1 	BER: 2.2547E-05
NBits: 46368 	NErrs: 1 	BER: 2.1567E-05
NBits: 50400 	NErrs: 1 	BER: 1.9841E-05
NBits: 52416 	NErrs: 1 	BER: 1.9078E-05
NBits: 54432 	NErrs: 1 	BER: 1.8372E-05
NBits: 58464 	NErrs: 1 	BER: 1.7105E-05
NBits: 60480 	NErrs: 1 	BER: 1.6534E-05
NBits: 64512 	NErrs: 1 	BER: 1.5501E-05
NBits: 68544 	NErrs: 1 	BER: 1.4589E-05
NBits: 80640 	NErrs: 1 	BER: 1.2401E-05
NBits: 82656 	NErrs: 1 	BER: 1.2098E-05
NBits: 84672 	NErrs: 1 	BER: 1.1810E-05
NBits: 86688 	NErrs: 1 	BER: 1.1536E-05
NBits: 90720 	NErrs: 1 	BER: 1.1023E-05
NBits: 94752 	NErrs: 1 	BER: 1.0554E-05
NBits: 98784 	NErrs: 1 	BER: 1.0123E-05
NBits: 100800 	NErrs: 1 	BER: 9.9206E-06
NBits: 102816 	NErrs: 1 	BER: 9.7261E-06
NBits: 106848 	NErrs: 1 	BER: 9.3591E-06
NBits: 110880 	NErrs: 1 	BER: 9.0188E-06
NBits: 112896 	NErrs: 1 	BER: 8.8577E-06
NBits: 114912 	NErrs: 1 	BER: 8.7023E-06
NBits: 116928 	NErrs: 1 	BER: 8.5523E-06
NBits: 118944 	NErrs: 1 	BER: 8.4073E-06
NBits: 122976 	NErrs: 2 	BER: 1.6263E-05
NBits: 127008 	NErrs: 2 	BER: 1.5747E-05
NBits: 131040 	NErrs: 2 	BER: 1.5263E-05
NBits: 135072 	NErrs: 2 	BER: 1.4807E-05
NBits: 137088 	NErrs: 2 	BER: 1.4589E-05
NBits: 139104 	NErrs: 3 	BER: 2.1567E-05
NBits: 143136 	NErrs: 3 	BER: 2.0959E-05
NBits: 145152 	NErrs: 3 	BER: 2.0668E-05
NBits: 147168 	NErrs: 3 	BER: 2.0385E-05
NBits: 149184 	NErrs: 3 	BER: 2.0109E-05
NBits: 151200 	NErrs: 3 	BER: 1.9841E-05
NBits: 153216 	NErrs: 3 	BER: 1.9580E-05
NBits: 157248 	NErrs: 3 	BER: 1.9078E-05
NBits: 161280 	NErrs: 3 	BER: 1.8601E-05
NBits: 167328 	NErrs: 3 	BER: 1.7929E-05
NBits: 169344 	NErrs: 3 	BER: 1.7715E-05
NBits: 173376 	NErrs: 3 	BER: 1.7303E-05
NBits: 175392 	NErrs: 3 	BER: 1.7105E-05
NBits: 177408 	NErrs: 3 	BER: 1.6910E-05
NBits: 181440 	NErrs: 4 	BER: 2.2046E-05
NBits: 183456 	NErrs: 4 	BER: 2.1804E-05
NBits: 185472 	NErrs: 4 	BER: 2.1567E-05
NBits: 189504 	NErrs: 4 	BER: 2.1108E-05
NBits: 193536 	NErrs: 4 	BER: 2.0668E-05
NBits: 195552 	NErrs: 4 	BER: 2.0455E-05
NBits: 197568 	NErrs: 4 	BER: 2.0246E-05
NBits: 201600 	NErrs: 4 	BER: 1.9841E-05
NBits: 203616 	NErrs: 4 	BER: 1.9645E-05
NBits: 205632 	NErrs: 4 	BER: 1.9452E-05
NBits: 209664 	NErrs: 4 	BER: 1.9078E-05
NBits: 211680 	NErrs: 4 	BER: 1.8896E-05
NBits: 213696 	NErrs: 4 	BER: 1.8718E-05
NBits: 215712 	NErrs: 4 	BER: 1.8543E-05
NBits: 223776 	NErrs: 4 	BER: 1.7875E-05
NBits: 227808 	NErrs: 4 	BER: 1.7559E-05
NBits: 231840 	NErrs: 4 	BER: 1.7253E-05
NBits: 235872 	NErrs: 5 	BER: 2.1198E-05
NBits: 237888 	NErrs: 5 	BER: 2.1018E-05
NBits: 239904 	NErrs: 5 	BER: 2.0842E-05
NBits: 241920 	NErrs: 5 	BER: 2.0668E-05
NBits: 243936 	NErrs: 5 	BER: 2.0497E-05
NBits: 247968 	NErrs: 5 	BER: 2.0164E-05
NBits: 252000 	NErrs: 5 	BER: 1.9841E-05
NBits: 256032 	NErrs: 5 	BER: 1.9529E-05
NBits: 258048 	NErrs: 5 	BER: 1.9376E-05
NBits: 260064 	NErrs: 5 	BER: 1.9226E-05
NBits: 266112 	NErrs: 5 	BER: 1.8789E-05
NBits: 268128 	NErrs: 5 	BER: 1.8648E-05
NBits: 272160 	NErrs: 5 	BER: 1.8372E-05
NBits: 274176 	NErrs: 5 	BER: 1.8236E-05
NBits: 276192 	NErrs: 5 	BER: 1.8103E-05
NBits: 280224 	NErrs: 5 	BER: 1.7843E-05
NBits: 282240 	NErrs: 5 	BER: 1.7715E-05
NBits: 284256 	NErrs: 5 	BER: 1.7590E-05
NBits: 292320 	NErrs: 5 	BER: 1.7105E-05
NBits: 296352 	NErrs: 5 	BER: 1.6872E-05
NBits: 298368 	NErrs: 5 	BER: 1.6758E-05
NBits: 300384 	NErrs: 5 	BER: 1.6645E-05
NBits: 304416 	NErrs: 5 	BER: 1.6425E-05
NBits: 308448 	NErrs: 5 	BER: 1.6210E-05
NBits: 312480 	NErrs: 5 	BER: 1.6001E-05
NBits: 314496 	NErrs: 5 	BER: 1.5898E-05
NBits: 318528 	NErrs: 5 	BER: 1.5697E-05
NBits: 320544 	NErrs: 5 	BER: 1.5598E-05
NBits: 322560 	NErrs: 5 	BER: 1.5501E-05
NBits: 326592 	NErrs: 5 	BER: 1.5310E-05
NBits: 330624 	NErrs: 5 	BER: 1.5123E-05
NBits: 332640 	NErrs: 5 	BER: 1.5031E-05
NBits: 334656 	NErrs: 5 	BER: 1.4941E-05
NBits: 340704 	NErrs: 5 	BER: 1.4675E-05
NBits: 342720 	NErrs: 5 	BER: 1.4589E-05
NBits: 346752 	NErrs: 6 	BER: 1.7303E-05
NBits: 348768 	NErrs: 6 	BER: 1.7203E-05
NBits: 352800 	NErrs: 6 	BER: 1.7007E-05
NBits: 356832 	NErrs: 6 	BER: 1.6815E-05
NBits: 360864 	NErrs: 6 	BER: 1.6627E-05
NBits: 364896 	NErrs: 7 	BER: 1.9184E-05
NBits: 366912 	NErrs: 7 	BER: 1.9078E-05
NBits: 368928 	NErrs: 7 	BER: 1.8974E-05
NBits: 372960 	NErrs: 7 	BER: 1.8769E-05
NBits: 376992 	NErrs: 7 	BER: 1.8568E-05
NBits: 379008 	NErrs: 7 	BER: 1.8469E-05
NBits: 381024 	NErrs: 7 	BER: 1.8372E-05
NBits: 385056 	NErrs: 7 	BER: 1.8179E-05
NBits: 387072 	NErrs: 7 	BER: 1.8084E-05
NBits: 389088 	NErrs: 7 	BER: 1.7991E-05
NBits: 393120 	NErrs: 7 	BER: 1.7806E-05
NBits: 395136 	NErrs: 7 	BER: 1.7715E-05
NBits: 397152 	NErrs: 7 	BER: 1.7625E-05
NBits: 401184 	NErrs: 7 	BER: 1.7448E-05
NBits: 405216 	NErrs: 7 	BER: 1.7275E-05
NBits: 407232 	NErrs: 7 	BER: 1.7189E-05
NBits: 409248 	NErrs: 7 	BER: 1.7105E-05
NBits: 413280 	NErrs: 7 	BER: 1.6938E-05
NBits: 415296 	NErrs: 7 	BER: 1.6855E-05
NBits: 419328 	NErrs: 7 	BER: 1.6693E-05
NBits: 421344 	NErrs: 7 	BER: 1.6614E-05
NBits: 423360 	NErrs: 7 	BER: 1.6534E-05
NBits: 427392 	NErrs: 7 	BER: 1.6378E-05
NBits: 429408 	NErrs: 7 	BER: 1.6302E-05
NBits: 433440 	NErrs: 7 	BER: 1.6150E-05
NBits: 439488 	NErrs: 7 	BER: 1.5928E-05
NBits: 441504 	NErrs: 7 	BER: 1.5855E-05
NBits: 445536 	NErrs: 7 	BER: 1.5711E-05
NBits: 447552 	NErrs: 7 	BER: 1.5641E-05
NBits: 451584 	NErrs: 7 	BER: 1.5501E-05
NBits: 453600 	NErrs: 7 	BER: 1.5432E-05
NBits: 455616 	NErrs: 7 	BER: 1.5364E-05
NBits: 459648 	NErrs: 7 	BER: 1.5229E-05
NBits: 463680 	NErrs: 7 	BER: 1.5097E-05
NBits: 465696 	NErrs: 7 	BER: 1.5031E-05
NBits: 467712 	NErrs: 7 	BER: 1.4966E-05
NBits: 471744 	NErrs: 7 	BER: 1.4839E-05
NBits: 475776 	NErrs: 7 	BER: 1.4713E-05
NBits: 477792 	NErrs: 7 	BER: 1.4651E-05
NBits: 479808 	NErrs: 7 	BER: 1.4589E-05
NBits: 487872 	NErrs: 7 	BER: 1.4348E-05
NBits: 489888 	NErrs: 7 	BER: 1.4289E-05
NBits: 491904 	NErrs: 7 	BER: 1.4230E-05
NBits: 495936 	NErrs: 7 	BER: 1.4115E-05
NBits: 499968 	NErrs: 7 	BER: 1.4001E-05
NBits: 501984 	NErrs: 7 	BER: 1.3945E-05
NBits: 504000 	NErrs: 7 	BER: 1.3889E-05
NBits: 508032 	NErrs: 7 	BER: 1.3779E-05
NBits: 510048 	NErrs: 7 	BER: 1.3724E-05
NBits: 518112 	NErrs: 7 	BER: 1.3511E-05
NBits: 520128 	NErrs: 7 	BER: 1.3458E-05
NBits: 524160 	NErrs: 8 	BER: 1.5263E-05
NBits: 528192 	NErrs: 8 	BER: 1.5146E-05
NBits: 530208 	NErrs: 8 	BER: 1.5088E-05
NBits: 532224 	NErrs: 8 	BER: 1.5031E-05
NBits: 536256 	NErrs: 8 	BER: 1.4918E-05
NBits: 540288 	NErrs: 8 	BER: 1.4807E-05
NBits: 544320 	NErrs: 8 	BER: 1.4697E-05
NBits: 546336 	NErrs: 8 	BER: 1.4643E-05
NBits: 550368 	NErrs: 8 	BER: 1.4536E-05
NBits: 554400 	NErrs: 8 	BER: 1.4430E-05
NBits: 558432 	NErrs: 8 	BER: 1.4326E-05
NBits: 562464 	NErrs: 8 	BER: 1.4223E-05
NBits: 566496 	NErrs: 8 	BER: 1.4122E-05
NBits: 570528 	NErrs: 8 	BER: 1.4022E-05
NBits: 572544 	NErrs: 8 	BER: 1.3973E-05
NBits: 574560 	NErrs: 8 	BER: 1.3924E-05
NBits: 576576 	NErrs: 8 	BER: 1.3875E-05
NBits: 578592 	NErrs: 8 	BER: 1.3827E-05
NBits: 582624 	NErrs: 8 	BER: 1.3731E-05
NBits: 586656 	NErrs: 8 	BER: 1.3637E-05
NBits: 588672 	NErrs: 8 	BER: 1.3590E-05
NBits: 596736 	NErrs: 9 	BER: 1.5082E-05
NBits: 600768 	NErrs: 9 	BER: 1.4981E-05
NBits: 604800 	NErrs: 9 	BER: 1.4881E-05
NBits: 606816 	NErrs: 9 	BER: 1.4832E-05
NBits: 608832 	NErrs: 9 	BER: 1.4782E-05
NBits: 610848 	NErrs: 9 	BER: 1.4734E-05
NBits: 618912 	NErrs: 10 	BER: 1.6157E-05
NBits: 622944 	NErrs: 10 	BER: 1.6053E-05
NBits: 624960 	NErrs: 10 	BER: 1.6001E-05
NBits: 633024 	NErrs: 10 	BER: 1.5797E-05
NBits: 635040 	NErrs: 10 	BER: 1.5747E-05
NBits: 637056 	NErrs: 10 	BER: 1.5697E-05
NBits: 641088 	NErrs: 10 	BER: 1.5598E-05
NBits: 643104 	NErrs: 10 	BER: 1.5550E-05
NBits: 647136 	NErrs: 10 	BER: 1.5453E-05
NBits: 649152 	NErrs: 10 	BER: 1.5405E-05
NBits: 653184 	NErrs: 11 	BER: 1.6841E-05
NBits: 655200 	NErrs: 11 	BER: 1.6789E-05
NBits: 657216 	NErrs: 11 	BER: 1.6737E-05
NBits: 661248 	NErrs: 11 	BER: 1.6635E-05
NBits: 665280 	NErrs: 11 	BER: 1.6534E-05
NBits: 667296 	NErrs: 12 	BER: 1.7983E-05
NBits: 669312 	NErrs: 12 	BER: 1.7929E-05
NBits: 673344 	NErrs: 12 	BER: 1.7821E-05
NBits: 675360 	NErrs: 12 	BER: 1.7768E-05
NBits: 677376 	NErrs: 12 	BER: 1.7715E-05
NBits: 681408 	NErrs: 12 	BER: 1.7611E-05
NBits: 685440 	NErrs: 12 	BER: 1.7507E-05
NBits: 693504 	NErrs: 12 	BER: 1.7303E-05
NBits: 695520 	NErrs: 12 	BER: 1.7253E-05
NBits: 697536 	NErrs: 13 	BER: 1.8637E-05
NBits: 699552 	NErrs: 13 	BER: 1.8583E-05
NBits: 701568 	NErrs: 13 	BER: 1.8530E-05
NBits: 705600 	NErrs: 13 	BER: 1.8424E-05
NBits: 707616 	NErrs: 13 	BER: 1.8372E-05
NBits: 709632 	NErrs: 13 	BER: 1.8319E-05
NBits: 713664 	NErrs: 13 	BER: 1.8216E-05
NBits: 715680 	NErrs: 13 	BER: 1.8165E-05
NBits: 719712 	NErrs: 13 	BER: 1.8063E-05
NBits: 721728 	NErrs: 13 	BER: 1.8012E-05
NBits: 725760 	NErrs: 13 	BER: 1.7912E-05
NBits: 729792 	NErrs: 13 	BER: 1.7813E-05
NBits: 731808 	NErrs: 13 	BER: 1.7764E-05
NBits: 733824 	NErrs: 13 	BER: 1.7715E-05
NBits: 737856 	NErrs: 13 	BER: 1.7619E-05
NBits: 739872 	NErrs: 13 	BER: 1.7571E-05
NBits: 741888 	NErrs: 13 	BER: 1.7523E-05
