Press Enter to quit: NBits: 480 	NErrs: 0 	BER: 0.0000E+00
NBits: 2400 	NErrs: 1 	BER: 4.1667E-04
NBits: 3360 	NErrs: 1 	BER: 2.9762E-04
NBits: 3840 	NErrs: 1 	BER: 2.6042E-04
NBits: 5760 	NErrs: 2 	BER: 3.4722E-04
NBits: 6720 	NErrs: 2 	BER: 2.9762E-04
NBits: 7520 	NErrs: 2 	BER: 2.6596E-04
NBits: 8480 	NErrs: 2 	BER: 2.3585E-04
NBits: 8960 	NErrs: 2 	BER: 2.2321E-04
NBits: 10880 	NErrs: 2 	BER: 1.8382E-04
NBits: 12640 	NErrs: 2 	BER: 1.5823E-04
NBits: 13600 	NErrs: 2 	BER: 1.4706E-04
NBits: 14400 	NErrs: 4 	BER: 2.7778E-04
NBits: 16000 	NErrs: 4 	BER: 2.5000E-04
NBits: 16960 	NErrs: 4 	BER: 2.3585E-04
NBits: 17760 	NErrs: 4 	BER: 2.2523E-04
NBits: 19680 	NErrs: 5 	BER: 2.5407E-04
NBits: 20640 	NErrs: 5 	BER: 2.4225E-04
NBits: 22560 	NErrs: 5 	BER: 2.2163E-04
NBits: 22880 	NErrs: 5 	BER: 2.1853E-04
NBits: 24320 	NErrs: 5 	BER: 2.0559E-04
NBits: 25280 	NErrs: 5 	BER: 1.9778E-04
NBits: 26240 	NErrs: 5 	BER: 1.9055E-04
NBits: 27200 	NErrs: 6 	BER: 2.2059E-04
NBits: 27840 	NErrs: 6 	BER: 2.1552E-04
NBits: 28800 	NErrs: 6 	BER: 2.0833E-04
NBits: 30080 	NErrs: 6 	BER: 1.9947E-04
NBits: 31520 	NErrs: 6 	BER: 1.9036E-04
NBits: 33440 	NErrs: 6 	BER: 1.7943E-04
NBits: 34400 	NErrs: 6 	BER: 1.7442E-04
NBits: 35200 	NErrs: 6 	BER: 1.7045E-04
NBits: 35680 	NErrs: 6 	BER: 1.6816E-04
NBits: 36640 	NErrs: 6 	BER: 1.6376E-04
NBits: 36800 	NErrs: 6 	BER: 1.6304E-04
NBits: 37760 	NErrs: 7 	BER: 1.8538E-04
NBits: 39680 	NErrs: 7 	BER: 1.7641E-04
NBits: 40320 	NErrs: 7 	BER: 1.7361E-04
NBits: 41280 	NErrs: 7 	BER: 1.6957E-04
NBits: 43200 	NErrs: 7 	BER: 1.6204E-04
NBits: 43680 	NErrs: 7 	BER: 1.6026E-04
NBits: 45440 	NErrs: 7 	BER: 1.5405E-04
NBits: 46400 	NErrs: 7 	BER: 1.5086E-04
NBits: 48800 	NErrs: 7 	BER: 1.4344E-04
NBits: 52160 	NErrs: 8 	BER: 1.5337E-04
NBits: 53120 	NErrs: 8 	BER: 1.5060E-04
NBits: 56640 	NErrs: 9 	BER: 1.5890E-04
NBits: 57280 	NErrs: 9 	BER: 1.5712E-04
NBits: 58240 	NErrs: 9 	BER: 1.5453E-04
NBits: 60800 	NErrs: 9 	BER: 1.4803E-04
NBits: 61280 	NErrs: 9 	BER: 1.4687E-04
NBits: 62240 	NErrs: 9 	BER: 1.4460E-04
NBits: 62720 	NErrs: 9 	BER: 1.4349E-04
NBits: 64480 	NErrs: 9 	BER: 1.3958E-04
NBits: 66240 	NErrs: 9 	BER: 1.3587E-04
NBits: 67840 	NErrs: 9 	BER: 1.3267E-04
NBits: 71360 	NErrs: 10 	BER: 1.4013E-04
NBits: 72800 	NErrs: 10 	BER: 1.3736E-04
NBits: 72960 	NErrs: 10 	BER: 1.3706E-04
