Press Enter to quit: NBits: 1920 	NErrs: 0 	BER: 0.0000E+00
NBits: 5920 	NErrs: 3 	BER: 5.0676E-04
NBits: 7840 	NErrs: 3 	BER: 3.8265E-04
NBits: 15840 	NErrs: 3 	BER: 1.8939E-04
NBits: 19840 	NErrs: 4 	BER: 2.0161E-04
NBits: 21760 	NErrs: 4 	BER: 1.8382E-04
NBits: 25760 	NErrs: 4 	BER: 1.5528E-04
NBits: 27680 	NErrs: 4 	BER: 1.4451E-04
NBits: 28800 	NErrs: 4 	BER: 1.3889E-04
NBits: 30720 	NErrs: 4 	BER: 1.3021E-04
NBits: 34720 	NErrs: 4 	BER: 1.1521E-04
NBits: 38720 	NErrs: 4 	BER: 1.0331E-04
NBits: 38880 	NErrs: 4 	BER: 1.0288E-04
NBits: 40800 	NErrs: 4 	BER: 9.8039E-05
NBits: 42240 	NErrs: 4 	BER: 9.4697E-05
NBits: 42400 	NErrs: 4 	BER: 9.4340E-05
NBits: 43360 	NErrs: 4 	BER: 9.2251E-05
NBits: 45280 	NErrs: 4 	BER: 8.8339E-05
NBits: 45760 	NErrs: 4 	BER: 8.7413E-05
NBits: 47680 	NErrs: 4 	BER: 8.3893E-05
NBits: 51680 	NErrs: 4 	BER: 7.7399E-05
NBits: 55680 	NErrs: 5 	BER: 8.9799E-05
NBits: 59680 	NErrs: 5 	BER: 8.3780E-05
NBits: 60640 	NErrs: 5 	BER: 8.2454E-05
NBits: 61440 	NErrs: 5 	BER: 8.1380E-05
NBits: 67360 	NErrs: 6 	BER: 8.9074E-05
NBits: 71360 	NErrs: 6 	BER: 8.4081E-05
NBits: 73280 	NErrs: 6 	BER: 8.1878E-05
NBits: 76800 	NErrs: 6 	BER: 7.8125E-05
NBits: 80480 	NErrs: 6 	BER: 7.4553E-05
NBits: 84480 	NErrs: 7 	BER: 8.2860E-05
NBits: 88480 	NErrs: 8 	BER: 9.0416E-05
NBits: 92480 	NErrs: 8 	BER: 8.6505E-05
NBits: 93920 	NErrs: 8 	BER: 8.5179E-05
NBits: 94240 	NErrs: 8 	BER: 8.4890E-05
NBits: 97600 	NErrs: 8 	BER: 8.1967E-05
NBits: 100480 	NErrs: 8 	BER: 7.9618E-05
NBits: 102400 	NErrs: 8 	BER: 7.8125E-05
NBits: 104320 	NErrs: 8 	BER: 7.6687E-05
NBits: 106240 	NErrs: 8 	BER: 7.5301E-05
NBits: 110240 	NErrs: 9 	BER: 8.1640E-05
NBits: 114240 	NErrs: 9 	BER: 7.8782E-05
NBits: 116160 	NErrs: 10 	BER: 8.6088E-05
NBits: 120160 	NErrs: 10 	BER: 8.3222E-05
NBits: 124160 	NErrs: 10 	BER: 8.0541E-05
NBits: 126080 	NErrs: 10 	BER: 7.9315E-05
NBits: 127040 	NErrs: 10 	BER: 7.8715E-05
NBits: 135680 	NErrs: 11 	BER: 8.1073E-05
NBits: 140640 	NErrs: 11 	BER: 7.8214E-05
NBits: 144640 	NErrs: 11 	BER: 7.6051E-05
NBits: 146560 	NErrs: 11 	BER: 7.5055E-05
NBits: 150560 	NErrs: 11 	BER: 7.3061E-05
NBits: 154560 	NErrs: 13 	BER: 8.4110E-05
NBits: 158560 	NErrs: 14 	BER: 8.8295E-05
NBits: 159840 	NErrs: 14 	BER: 8.7588E-05
NBits: 167360 	NErrs: 16 	BER: 9.5602E-05
NBits: 171680 	NErrs: 16 	BER: 9.3197E-05
NBits: 173600 	NErrs: 17 	BER: 9.7926E-05
NBits: 177600 	NErrs: 17 	BER: 9.5721E-05
NBits: 178560 	NErrs: 17 	BER: 9.5206E-05
NBits: 179520 	NErrs: 17 	BER: 9.4697E-05
NBits: 180320 	NErrs: 17 	BER: 9.4277E-05
NBits: 182240 	NErrs: 17 	BER: 9.3284E-05
NBits: 186240 	NErrs: 17 	BER: 9.1280E-05
NBits: 190240 	NErrs: 17 	BER: 8.9361E-05
NBits: 192160 	NErrs: 17 	BER: 8.8468E-05
NBits: 192640 	NErrs: 17 	BER: 8.8248E-05
NBits: 199040 	NErrs: 17 	BER: 8.5410E-05
NBits: 200960 	NErrs: 18 	BER: 8.9570E-05
NBits: 202880 	NErrs: 19 	BER: 9.3651E-05
NBits: 204800 	NErrs: 20 	BER: 9.7656E-05
NBits: 205760 	NErrs: 21 	BER: 1.0206E-04
NBits: 207680 	NErrs: 21 	BER: 1.0112E-04
NBits: 209280 	NErrs: 21 	BER: 1.0034E-04
NBits: 213280 	NErrs: 21 	BER: 9.8462E-05
NBits: 217280 	NErrs: 22 	BER: 1.0125E-04
NBits: 221280 	NErrs: 23 	BER: 1.0394E-04
NBits: 225280 	NErrs: 23 	BER: 1.0210E-04
NBits: 227200 	NErrs: 23 	BER: 1.0123E-04
NBits: 231200 	NErrs: 24 	BER: 1.0381E-04
NBits: 232160 	NErrs: 25 	BER: 1.0768E-04
NBits: 236000 	NErrs: 25 	BER: 1.0593E-04
NBits: 237920 	NErrs: 25 	BER: 1.0508E-04
NBits: 241920 	NErrs: 25 	BER: 1.0334E-04
NBits: 243840 	NErrs: 26 	BER: 1.0663E-04
NBits: 245760 	NErrs: 26 	BER: 1.0579E-04
NBits: 249760 	NErrs: 28 	BER: 1.1211E-04
NBits: 253760 	NErrs: 28 	BER: 1.1034E-04
NBits: 258080 	NErrs: 28 	BER: 1.0849E-04
NBits: 260000 	NErrs: 28 	BER: 1.0769E-04
NBits: 260960 	NErrs: 28 	BER: 1.0730E-04
NBits: 261440 	NErrs: 28 	BER: 1.0710E-04
NBits: 263200 	NErrs: 29 	BER: 1.1018E-04
NBits: 265120 	NErrs: 30 	BER: 1.1316E-04
NBits: 269120 	NErrs: 32 	BER: 1.1891E-04
NBits: 270080 	NErrs: 32 	BER: 1.1848E-04
NBits: 272000 	NErrs: 32 	BER: 1.1765E-04
NBits: 272960 	NErrs: 32 	BER: 1.1723E-04
NBits: 273440 	NErrs: 32 	BER: 1.1703E-04
NBits: 274400 	NErrs: 32 	BER: 1.1662E-04
NBits: 276800 	NErrs: 33 	BER: 1.1922E-04
NBits: 278720 	NErrs: 33 	BER: 1.1840E-04
NBits: 282720 	NErrs: 33 	BER: 1.1672E-04
NBits: 286720 	NErrs: 34 	BER: 1.1858E-04
NBits: 290720 	NErrs: 34 	BER: 1.1695E-04
NBits: 290880 	NErrs: 34 	BER: 1.1689E-04
NBits: 291840 	NErrs: 35 	BER: 1.1993E-04
NBits: 293760 	NErrs: 36 	BER: 1.2255E-04
NBits: 294240 	NErrs: 36 	BER: 1.2235E-04
NBits: 296160 	NErrs: 37 	BER: 1.2493E-04
NBits: 301120 	NErrs: 37 	BER: 1.2287E-04
NBits: 302080 	NErrs: 37 	BER: 1.2248E-04
NBits: 302720 	NErrs: 37 	BER: 1.2223E-04
NBits: 304640 	NErrs: 37 	BER: 1.2145E-04
NBits: 305600 	NErrs: 37 	BER: 1.2107E-04
NBits: 306560 	NErrs: 37 	BER: 1.2069E-04
NBits: 308480 	NErrs: 37 	BER: 1.1994E-04
NBits: 309440 	NErrs: 37 	BER: 1.1957E-04
NBits: 309600 	NErrs: 37 	BER: 1.1951E-04
NBits: 311520 	NErrs: 37 	BER: 1.1877E-04
NBits: 315520 	NErrs: 37 	BER: 1.1727E-04
NBits: 319520 	NErrs: 37 	BER: 1.1580E-04
NBits: 323520 	NErrs: 38 	BER: 1.1746E-04
NBits: 323680 	NErrs: 38 	BER: 1.1740E-04
NBits: 325600 	NErrs: 38 	BER: 1.1671E-04
NBits: 329600 	NErrs: 40 	BER: 1.2136E-04
NBits: 330080 	NErrs: 40 	BER: 1.2118E-04
NBits: 333920 	NErrs: 41 	BER: 1.2278E-04
NBits: 335840 	NErrs: 42 	BER: 1.2506E-04
NBits: 336800 	NErrs: 42 	BER: 1.2470E-04
NBits: 337280 	NErrs: 42 	BER: 1.2453E-04
NBits: 339200 	NErrs: 42 	BER: 1.2382E-04
NBits: 340160 	NErrs: 43 	BER: 1.2641E-04
NBits: 340640 	NErrs: 43 	BER: 1.2623E-04
NBits: 342560 	NErrs: 43 	BER: 1.2553E-04
NBits: 346560 	NErrs: 44 	BER: 1.2696E-04
NBits: 350560 	NErrs: 44 	BER: 1.2551E-04
NBits: 354560 	NErrs: 45 	BER: 1.2692E-04
NBits: 356480 	NErrs: 46 	BER: 1.2904E-04
NBits: 359360 	NErrs: 48 	BER: 1.3357E-04
NBits: 361600 	NErrs: 48 	BER: 1.3274E-04
NBits: 363520 	NErrs: 48 	BER: 1.3204E-04
NBits: 368160 	NErrs: 49 	BER: 1.3309E-04
NBits: 368320 	NErrs: 49 	BER: 1.3304E-04
NBits: 369280 	NErrs: 49 	BER: 1.3269E-04
NBits: 370080 	NErrs: 49 	BER: 1.3240E-04
NBits: 372000 	NErrs: 49 	BER: 1.3172E-04
NBits: 376000 	NErrs: 50 	BER: 1.3298E-04
NBits: 380000 	NErrs: 50 	BER: 1.3158E-04
NBits: 388160 	NErrs: 56 	BER: 1.4427E-04
NBits: 389120 	NErrs: 56 	BER: 1.4391E-04
NBits: 390080 	NErrs: 56 	BER: 1.4356E-04
NBits: 392000 	NErrs: 56 	BER: 1.4286E-04
NBits: 392640 	NErrs: 56 	BER: 1.4262E-04
NBits: 393600 	NErrs: 56 	BER: 1.4228E-04
NBits: 394240 	NErrs: 57 	BER: 1.4458E-04
NBits: 396160 	NErrs: 57 	BER: 1.4388E-04
NBits: 400160 	NErrs: 58 	BER: 1.4494E-04
NBits: 401120 	NErrs: 58 	BER: 1.4460E-04
NBits: 403040 	NErrs: 58 	BER: 1.4391E-04
NBits: 411040 	NErrs: 58 	BER: 1.4111E-04
NBits: 412960 	NErrs: 58 	BER: 1.4045E-04
NBits: 416960 	NErrs: 58 	BER: 1.3910E-04
NBits: 420960 	NErrs: 58 	BER: 1.3778E-04
NBits: 421920 	NErrs: 59 	BER: 1.3984E-04
NBits: 423840 	NErrs: 60 	BER: 1.4156E-04
NBits: 424800 	NErrs: 60 	BER: 1.4124E-04
NBits: 425280 	NErrs: 60 	BER: 1.4108E-04
NBits: 427200 	NErrs: 60 	BER: 1.4045E-04
NBits: 428800 	NErrs: 60 	BER: 1.3993E-04
NBits: 429760 	NErrs: 60 	BER: 1.3961E-04
NBits: 430400 	NErrs: 60 	BER: 1.3941E-04
NBits: 432320 	NErrs: 61 	BER: 1.4110E-04
NBits: 434240 	NErrs: 61 	BER: 1.4048E-04
NBits: 439200 	NErrs: 61 	BER: 1.3889E-04
NBits: 443200 	NErrs: 61 	BER: 1.3764E-04
NBits: 444160 	NErrs: 62 	BER: 1.3959E-04
NBits: 446080 	NErrs: 62 	BER: 1.3899E-04
NBits: 450080 	NErrs: 62 	BER: 1.3775E-04
NBits: 454720 	NErrs: 62 	BER: 1.3635E-04
NBits: 455680 	NErrs: 62 	BER: 1.3606E-04
NBits: 459040 	NErrs: 62 	BER: 1.3506E-04
NBits: 461440 	NErrs: 63 	BER: 1.3653E-04
NBits: 463360 	NErrs: 66 	BER: 1.4244E-04
NBits: 467360 	NErrs: 66 	BER: 1.4122E-04
NBits: 469280 	NErrs: 66 	BER: 1.4064E-04
NBits: 471200 	NErrs: 67 	BER: 1.4219E-04
NBits: 473120 	NErrs: 67 	BER: 1.4161E-04
NBits: 475040 	NErrs: 67 	BER: 1.4104E-04
NBits: 479040 	NErrs: 67 	BER: 1.3986E-04
NBits: 483040 	NErrs: 67 	BER: 1.3870E-04
NBits: 487040 	NErrs: 67 	BER: 1.3757E-04
NBits: 487520 	NErrs: 67 	BER: 1.3743E-04
NBits: 488480 	NErrs: 67 	BER: 1.3716E-04
NBits: 490880 	NErrs: 67 	BER: 1.3649E-04
NBits: 492800 	NErrs: 67 	BER: 1.3596E-04
NBits: 496800 	NErrs: 67 	BER: 1.3486E-04
NBits: 498720 	NErrs: 69 	BER: 1.3835E-04
NBits: 502720 	NErrs: 69 	BER: 1.3725E-04
NBits: 504640 	NErrs: 69 	BER: 1.3673E-04
NBits: 508640 	NErrs: 69 	BER: 1.3566E-04
NBits: 512640 	NErrs: 69 	BER: 1.3460E-04
NBits: 516640 	NErrs: 70 	BER: 1.3549E-04
NBits: 518560 	NErrs: 70 	BER: 1.3499E-04
NBits: 519520 	NErrs: 70 	BER: 1.3474E-04
NBits: 520160 	NErrs: 70 	BER: 1.3457E-04
NBits: 520320 	NErrs: 70 	BER: 1.3453E-04
NBits: 522240 	NErrs: 70 	BER: 1.3404E-04
NBits: 526240 	NErrs: 70 	BER: 1.3302E-04
NBits: 528960 	NErrs: 70 	BER: 1.3234E-04
NBits: 532960 	NErrs: 71 	BER: 1.3322E-04
NBits: 538720 	NErrs: 72 	BER: 1.3365E-04
NBits: 542720 	NErrs: 72 	BER: 1.3267E-04
NBits: 546720 	NErrs: 73 	BER: 1.3352E-04
NBits: 550720 	NErrs: 74 	BER: 1.3437E-04
NBits: 552800 	NErrs: 74 	BER: 1.3386E-04
NBits: 552960 	NErrs: 74 	BER: 1.3383E-04
NBits: 554880 	NErrs: 74 	BER: 1.3336E-04
NBits: 558880 	NErrs: 74 	BER: 1.3241E-04
NBits: 559840 	NErrs: 74 	BER: 1.3218E-04
NBits: 561760 	NErrs: 74 	BER: 1.3173E-04
NBits: 565760 	NErrs: 75 	BER: 1.3257E-04
NBits: 566240 	NErrs: 75 	BER: 1.3245E-04
NBits: 574080 	NErrs: 76 	BER: 1.3239E-04
