Press Enter to quit: NBits: 4000 	NErrs: 0 	BER: 0.0000E+00
NBits: 12160 	NErrs: 3 	BER: 2.4671E-04
NBits: 16480 	NErrs: 3 	BER: 1.8204E-04
NBits: 23360 	NErrs: 5 	BER: 2.1404E-04
NBits: 26720 	NErrs: 5 	BER: 1.8713E-04
NBits: 28640 	NErrs: 5 	BER: 1.7458E-04
NBits: 32640 	NErrs: 5 	BER: 1.5319E-04
NBits: 36640 	NErrs: 5 	BER: 1.3646E-04
NBits: 37120 	NErrs: 5 	BER: 1.3470E-04
NBits: 39040 	NErrs: 5 	BER: 1.2807E-04
NBits: 40000 	NErrs: 5 	BER: 1.2500E-04
NBits: 44000 	NErrs: 6 	BER: 1.3636E-04
NBits: 48000 	NErrs: 6 	BER: 1.2500E-04
NBits: 49120 	NErrs: 6 	BER: 1.2215E-04
NBits: 56000 	NErrs: 6 	BER: 1.0714E-04
NBits: 57920 	NErrs: 6 	BER: 1.0359E-04
NBits: 59520 	NErrs: 6 	BER: 1.0081E-04
NBits: 61440 	NErrs: 6 	BER: 9.7656E-05
NBits: 69280 	NErrs: 6 	BER: 8.6605E-05
NBits: 73280 	NErrs: 6 	BER: 8.1878E-05
NBits: 81440 	NErrs: 9 	BER: 1.1051E-04
NBits: 81920 	NErrs: 9 	BER: 1.0986E-04
NBits: 83840 	NErrs: 9 	BER: 1.0735E-04
NBits: 85760 	NErrs: 9 	BER: 1.0494E-04
NBits: 88800 	NErrs: 9 	BER: 1.0135E-04
NBits: 91680 	NErrs: 9 	BER: 9.8168E-05
NBits: 93600 	NErrs: 9 	BER: 9.6154E-05
NBits: 95680 	NErrs: 9 	BER: 9.4064E-05
NBits: 98560 	NErrs: 9 	BER: 9.1315E-05
NBits: 102560 	NErrs: 9 	BER: 8.7754E-05
NBits: 106880 	NErrs: 11 	BER: 1.0292E-04
NBits: 107360 	NErrs: 11 	BER: 1.0246E-04
NBits: 109440 	NErrs: 11 	BER: 1.0051E-04
NBits: 111360 	NErrs: 12 	BER: 1.0776E-04
NBits: 113280 	NErrs: 12 	BER: 1.0593E-04
NBits: 114240 	NErrs: 13 	BER: 1.1380E-04
NBits: 114720 	NErrs: 13 	BER: 1.1332E-04
NBits: 116480 	NErrs: 13 	BER: 1.1161E-04
NBits: 119840 	NErrs: 13 	BER: 1.0848E-04
NBits: 121760 	NErrs: 13 	BER: 1.0677E-04
NBits: 122720 	NErrs: 14 	BER: 1.1408E-04
NBits: 123360 	NErrs: 14 	BER: 1.1349E-04
NBits: 125280 	NErrs: 14 	BER: 1.1175E-04
NBits: 126240 	NErrs: 14 	BER: 1.1090E-04
NBits: 126720 	NErrs: 14 	BER: 1.1048E-04
NBits: 128640 	NErrs: 14 	BER: 1.0883E-04
NBits: 129600 	NErrs: 14 	BER: 1.0802E-04
NBits: 130240 	NErrs: 14 	BER: 1.0749E-04
NBits: 133120 	NErrs: 14 	BER: 1.0517E-04
NBits: 135040 	NErrs: 14 	BER: 1.0367E-04
NBits: 136960 	NErrs: 14 	BER: 1.0222E-04
NBits: 138880 	NErrs: 14 	BER: 1.0081E-04
NBits: 142880 	NErrs: 14 	BER: 9.7984E-05
NBits: 146880 	NErrs: 14 	BER: 9.5316E-05
NBits: 147520 	NErrs: 14 	BER: 9.4902E-05
NBits: 148960 	NErrs: 15 	BER: 1.0070E-04
NBits: 149280 	NErrs: 15 	BER: 1.0048E-04
NBits: 151200 	NErrs: 15 	BER: 9.9206E-05
NBits: 152640 	NErrs: 15 	BER: 9.8270E-05
NBits: 157920 	NErrs: 15 	BER: 9.4985E-05
NBits: 162720 	NErrs: 15 	BER: 9.2183E-05
NBits: 164640 	NErrs: 15 	BER: 9.1108E-05
NBits: 168640 	NErrs: 15 	BER: 8.8947E-05
NBits: 172640 	NErrs: 17 	BER: 9.8471E-05
NBits: 176640 	NErrs: 17 	BER: 9.6241E-05
NBits: 178560 	NErrs: 17 	BER: 9.5206E-05
NBits: 179520 	NErrs: 18 	BER: 1.0027E-04
NBits: 180160 	NErrs: 18 	BER: 9.9911E-05
NBits: 180320 	NErrs: 18 	BER: 9.9823E-05
NBits: 181760 	NErrs: 20 	BER: 1.1004E-04
NBits: 181920 	NErrs: 20 	BER: 1.0994E-04
NBits: 183840 	NErrs: 20 	BER: 1.0879E-04
NBits: 187360 	NErrs: 20 	BER: 1.0675E-04
NBits: 188800 	NErrs: 20 	BER: 1.0593E-04
NBits: 195040 	NErrs: 21 	BER: 1.0767E-04
NBits: 195680 	NErrs: 21 	BER: 1.0732E-04
NBits: 197600 	NErrs: 22 	BER: 1.1134E-04
NBits: 198560 	NErrs: 22 	BER: 1.1080E-04
NBits: 199200 	NErrs: 22 	BER: 1.1044E-04
NBits: 201120 	NErrs: 22 	BER: 1.0939E-04
NBits: 202080 	NErrs: 22 	BER: 1.0887E-04
NBits: 202560 	NErrs: 22 	BER: 1.0861E-04
NBits: 204480 	NErrs: 22 	BER: 1.0759E-04
NBits: 206400 	NErrs: 22 	BER: 1.0659E-04
NBits: 208320 	NErrs: 22 	BER: 1.0561E-04
NBits: 212320 	NErrs: 22 	BER: 1.0362E-04
NBits: 212960 	NErrs: 23 	BER: 1.0800E-04
NBits: 214560 	NErrs: 23 	BER: 1.0720E-04
NBits: 214720 	NErrs: 23 	BER: 1.0712E-04
NBits: 217600 	NErrs: 24 	BER: 1.1029E-04
NBits: 221600 	NErrs: 25 	BER: 1.1282E-04
NBits: 223520 	NErrs: 25 	BER: 1.1185E-04
NBits: 224480 	NErrs: 25 	BER: 1.1137E-04
NBits: 225120 	NErrs: 25 	BER: 1.1105E-04
